document_name,document_date,token_id,form_trans,form_utf,pos_tag,morphology,lemma,lemma_simple,lemma_wsd
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17094,Ware,Ware,VVFIN,Irr.3.Sg.Past.Konj,wēsen,wesen,wēsen²
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17101,bliuet,bliuet,VVFIN,St.3.Sg.Pres.Ind,blîven,bliven,blîven
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17119,vor#vechten,vorvechten,VVINF,--,vorvechten,vorvechten,vorvechten²
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17121,ver#dobelen,verdobelen,VVINF,--,vordōbelen,vordobelen,vordōbelen
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17127,ghaue,ghaue,VVFIN,St.3.Sg.Past.Konj,gēven,geven,gēven
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17140,ko#pen,kopen,VVINF,--,kö̂pen,kopen,kö̂pen
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17145,ghe#ue,gheue,VVFIN,St.3.Sg.*.Konj,gēven,geven,gēven
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17153,koft,koft,VVFIN,Sw.3.Sg.Pres.Ind,kö̂pen,kopen,kö̂pen
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17157,ghelde,ghelde,VVFIN,St.3.Sg.*.Konj,gelden,gelden,gelden
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17169,claghet,claghet,VVFIN,Sw.3.Sg.Pres.Ind,klāgen,klagen,klāgen
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17176,weder#claghet,wederclaghet,VVFIN,Sw.3.Sg.Pres.Ind,wedderklāgen,wedderklagen,wedderklāgen
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17179,claghet,claghet,VVFIN,Sw.3.Sg.Pres.Ind,klāgen,klagen,klāgen
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17187,antworden,antworden,VVINF,--,antwōrden,antworden,antwōrden²
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17195,ko#men,komen,VVPP,--,kōmen,komen,kōmen¹
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17202,benomen,benomen,VVINF,--,benö̂men,benomen,benö̂men¹
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17208,gheuen,gheuen,VVINF,--,gēven,geven,gēven
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17218,lenet,lenet,VVFIN,Sw.3.Sg.Pres.Ind,lêᵉnen,leenen,lêᵉnen¹
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17229,si,si,VVFIN,Irr.3.Sg.Pres.Konj,wēsen,wesen,wēsen²
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17240,let,let,VVFIN,St.3.Sg.*.Ind,lâten,laten,lâten¹
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17246,ver#koft,verkoft,VVFIN,Sw.3.Sg.Pres.Ind,vorkôpen,vorkopen,vorkôpen²
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17257,heuet,heuet,VVFIN,Sw.3.Sg.Pres.Ind,hebben,hebben,hebben
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17260,ver#sat,versat,VVFIN,Sw.3.Sg.Pres.Ind,vorsetten,vorsetten,vorsetten²
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17264,ver#spe-let,verspe-let,VVFIN,Sw.3.Sg.Pres.Ind,vorspēlen,vorspelen,vorspēlen²
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17271,af#ghe#stolen,afghestolen,VVPP,--,afstēlen,afstelen,afstēlen
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17274,af#ghe#rouet,afgherouet,VVPP,--,afrôven,afroven,afrôven
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17281,ver#leghen,verleghen,VVPP,--,vorliggen,vorliggen,vorliggen²
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17284,ver#sat,versat,VVPP,--,vorsetten,vorsetten,vorsetten²
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17294,hebben,hebben,VVINF,--,hebben,hebben,hebben
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17301,leyt,leyt,VVFIN,Sw.3.Sg.Pres.Ind,leggen,leggen,leggen
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17303,satte,satte,VVFIN,Sw.3.Sg.Past.*,setten,setten,setten
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17304,Storue,Storue,VVFIN,St.3.Sg.Past.Konj,sterven,sterven,sterven²
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17311,vorderen,vorderen,VVINF,--,vȫrderen,vorderen,vȫrderen²
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17339,dreghet,dreghet,VVFIN,St.3.Sg.Pres.Ind,drāgen,dragen,drāgen
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17351,voret,voret,VVFIN,Sw.3.Sg.Pres.Ind,vö̂ren,voren,vö̂ren¹
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17367,nimt,nimt,VVFIN,St.3.Sg.Pres.Ind,nēmen,nemen,nēmen
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17397,si,si,VVFIN,Irr.3.Sg.Pres.Konj,wēsen,wesen,wēsen²
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17403,leghet,leghet,VVFIN,Sw.3.*.Pres.Ind,leggen,leggen,leggen
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17408,lig-gen,lig-gen,VVINF,--,liggen,liggen,liggen
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17409,leyt,leyt,VVFIN,St.3.Sg.*.Ind,lâten,laten,lâten¹
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17411,holt,holt,VVFIN,St.3.Sg.Pres.Ind,hōlden,holden,hōlden
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17421,si,si,VVFIN,Irr.3.Sg.Pres.Konj,wēsen,wesen,wēsen²
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17434,don,don,VVINF,--,dôn,don,dôn¹
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17441,wiste,wiste,VVFIN,Prpr.3.Sg.Past.*,wēten,weten,wēten¹
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17444,ghift,ghift,VVFIN,St.3.Sg.Pres.Ind,weddergēven,weddergeven,weddergēven
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17454,tughen,tughen,VVINF,--,tü̂gen,tugen,tü̂gen²
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17461,heuet,heuet,VVPP,--,hebben,hebben,hebben
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17470,scut,scut,VVFIN,St-Sw.3.Sg.Pres.Ind,schên,schen,schên
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17476,scriget,scriget,VVPP,--,schrî(g)en,schri(g)en,schrî(g)en
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17479,komet,komet,VVFIN,St.3.Pl.Pres.Ind,kōmen,komen,kōmen¹
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17488,beseten,beseten,VVPP,--,besitten,besitten,besitten
