glottocode	AUTOTYP_area	Name	iso639_3	level	endangerment_status	desc_status	Parent_ID	Language_level_name	Top_genetic_unit_ID	Family_name	Path	Countries	Longitude	Latitude	Macroarea	Isolate	Family_name_isolates_distinct	Top_genetic_unit_ID_isolates_distinct	Language_level_ID	Name_stripped	Name_stripped_no_spaces	Family_color
mask1241	SE South America	Maskoy Pidgin	mhh	language	NA	overview	book1242	Maskoy Pidgin	book1242	Bookkeeping	book1242/mask1241	PY	-61.901	-22.234	South America	No	Bookkeeping	book1242	mask1241	Maskoy Pidgin	Maskoy_Pidgin	#AC5E9A
mask1242	Oceania	Maskelynes	klv	language	not endangered	long_grammar	sout3239	Maskelynes	aust1307	Austronesian	aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/cent2269/mala1539/east2753/cent2315/sout3239/mask1242	VU	167.818	-16.5073	Papunesia	No	Austronesian	aust1307	mask1242	Maskelynes	Maskelynes	#25EFE8
masl1241	African Savannah	Maslam	msv	language	shifting	wordlist	koto1268	Maslam	afro1255	Afro-Asiatic	afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1268/masl1241	CM, TD	14.8873	12.1918	Africa	No	Afro-Asiatic	afro1255	masl1241	Maslam	Maslam	#F04EC2
masm1239	African Savannah	Masmaje	mes	language	not endangered	wordlist	mubi1247	Masmaje	afro1255	Afro-Asiatic	afro1255/chad1250/east2632/east2633/east2709/mubi1247/masm1239	TD	19.2769	13.076	Africa	No	Afro-Asiatic	afro1255	masm1239	Masmaje	Masmaje	#F04EC2
mass1262	African Savannah	Massalat	mdg	language	moribund	overview	masa1301	Massalat	maba1274	Maban	maba1274/maba1275/maba1276/masa1301/mass1262	TD	19.7348	13.5157	Africa	No	Maban	maba1274	mass1262	Massalat	Massalat	#EEAEC4
mata1288	Mesoamerica	Matagalpa	mtn	language	extinct	phonology	mata1287	Matagalpa	misu1242	Misumalpan	misu1242/suma1272/mata1287/mata1288	NI	-86	13.0333	North America	No	Misumalpan	misu1242	mata1288	Matagalpa	Matagalpa	#CCAE89
mata1306	African Savannah	Matal	mfh	language	not endangered	specific_feature	podo1243	Matal	afro1255	Afro-Asiatic	afro1255/chad1250/bium1280/nort3156/marg1267/mand1472/podo1243/mata1306	CM	14.0474	10.9284	Africa	No	Afro-Asiatic	afro1255	mata1306	Matal	Matal	#F04EC2
matb1237	N Coast New Guinea	Matbat	xmt	language	threatened	grammar_sketch	maya1288	Matbat	aust1307	Austronesian	aust1307/mala1545/cent2237/east2712/sout2850/sout3229/raja1255/maya1288/matb1237	ID	130.075	-1.8801	Papunesia	No	Austronesian	aust1307	matb1237	Matbat	Matbat	#25EFE8
mate1258	S Africa	Matengo	mgv	language	not endangered	long_grammar	mate1261	Matengo	atla1278	Atlantic-Congo	atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/rufi1235/rufi1236/mate1261/mate1258	TZ	35.0056	-11.554	Africa	No	Atlantic-Congo	atla1278	mate1258	Matengo	Matengo	#D38D93
mate1260	N Coast New Guinea	Matepi	mqe	language	threatened	wordlist	uncl1506	Matepi	nucl1709	Nuclear Trans New Guinea	nucl1709/mada1298/croi1234/mabu1247/hans1243/uncl1506/mate1260	PG	145.617	-5.13857	Papunesia	No	Nuclear Trans New Guinea	nucl1709	mate1260	Matepi	Matepi	#FBD87E
