Lang_Script,PER,Sample_Size
ind_Latin,0.06912442396313365,100
inh_Cyrillic,0.3333333333333333,15
isl_Latin,0.02608695652173913,100
ita_Latin,0.0022624434389140274,100
izh_Latin,0.015455950540958269,100
jam_Latin,0.21518987341772153,18
jav_Javanese,0.09565217391304348,65
jje_Hangul,0.44554455445544555,73
kal_Latin,0.03558718861209965,100
kan_Kannada,0.0371900826446281,87
kas_Arabic,0.17424242424242425,34
kas_Devanagari,0.26666666666666666,10
kat_Georgian,0.0,100
kaw_Latin,0.03597122302158273,59
kaz_Cyrillic,0.19230769230769232,26
kgp_Latin,0.21212121212121213,10
khb_New Tai Lue,0.23310810810810811,49
khm_Khmer,0.10126582278481013,100
kik_Latin,0.2753623188405797,100
kir_Cyrillic,0.10903426791277258,56
kix_Latin,0.4166666666666667,17
kld_Latin,0.09285714285714286,51
kmr_Latin,0.020477815699658702,100
koi_Cyrillic,0.05970149253731343,18
kok_Devanagari,0.4307692307692308,14
kpv_Cyrillic,0.038461538461538464,83
krl_Latin,0.03286384976525822,41
ksw_Myanmar,0.3181818181818182,14
ktz_Latin,0.8947368421052632,13
kwk_Latin,0.5,10
kxd_Latin,0.0064516129032258064,31
kyu_Kayah Li,0.7142857142857143,12
lad_Latin,0.1,10
lat_Latin,0.00641025641025641,100
lif_Limbu,0.5454545454545454,10
lij_Latin,0.06345733041575492,81
lim_Latin,0.11264367816091954,87
lit_Latin,0.1932367149758454,35
liv_Latin,0.023809523809523808,38
lmo_Latin,0.28289473684210525,34
lou_Latin,0.024390243902439025,23
lsi_Latin,0.19,29
ltz_Latin,0.15609756097560976,100
lut_Latin,0.26666666666666666,11
lwl_Thai,0.08641975308641975,25
lzz_Georgian,0.043795620437956206,26
mah_Latin,0.13079470198675497,93
mal_Malayalam,0.13157894736842105,100
mar_Devanagari,0.021739130434782608,100
mdf_Cyrillic,0.09090909090909091,12
mfe_Latin,0.10204081632653061,19
mga_Latin,0.12037037037037036,22
mic_Latin,0.03680981595092025,20
mlg_Latin,0.29292929292929293,18
mlt_Latin,0.030927835051546393,100
mnw_Myanmar,0.4650537634408602,81
mon_Cyrillic,0.11544461778471139,100
mqs_Latin,0.048,79
msa_Arabic,0.18666666666666668,43
msa_Latin,0.06830122591943957,100
mtq_Latin,0.32727272727272727,14
mww_Latin,0.0425531914893617,41
mya_Myanmar,0.10987261146496816,100
nap_Latin,0.24324324324324326,18
nav_Latin,0.2441860465116279,32
nci_Latin,0.2009966777408638,82
nds_Latin,0.2972972972972973,13
nhn_Latin,0.16260162601626016,16
nhx_Latin,0.023255813953488372,14
niv_Cyrillic,0.17647058823529413,12
nld_Latin,0.0316622691292876,100
nno_Latin,0.3001605136436597,100
nob_Latin,0.14705882352941177,100
non_Latin,0.19130434782608696,21
nor_Latin,0.1460101867572156,100
nrf_Latin,0.35714285714285715,11
nup_Latin,0.3630952380952381,38
nya_Latin,0.17892156862745098,79
oci_Latin,0.13680781758957655,54
ofs_Latin,0.15,16
okm_Hangul,0.5598455598455598,56
olo_Latin,0.04316546762589928,26
orv_Cyrillic,0.19469026548672566,40
osp_Latin,0.040865384615384616,61
osx_Latin,0.1016949152542373,22
ota_Arabic,0.3972602739726027,14
pag_Latin,0.02586206896551724,20
pam_Latin,0.1266233766233766,51
pan_Arabic,0.3972602739726027,44
